FECHA,DEPARTAMENTO,MUNICIPIO,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS DESTRUIDAS,HECTAREAS,RECURSOS EJECUTADOS,VALOR KIT DE ALIMENTO,VALOR MATERIALES DE CONSTRUCCION
2019-01-02 12:00:00,ANTIOQUIA,LA CEJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,ANTIOQUIA,SEGOVIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,14.0,0.0,0.0,0.0
2019-01-10 12:00:00,ARAUCA,TAME,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0
2019-01-02 12:00:00,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0
2019-01-04 12:00:00,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-05 12:00:00,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0
2019-01-07 12:00:00,BOYACA,CHIVATA,OTROS,2,0,0,0,0.0,0.0,0.0,0.0
2019-01-09 12:00:00,BOYACA,SOGAMOSO,ACCIDENTE MINERO,1,0,0,0,0.0,0.0,0.0,0.0
2019-01-09 12:00:00,BOYACA,JERICO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,ATLANTICO,SOLEDAD,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOLIVAR,TURBACO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-04 12:00:00,BOLIVAR,EL CARMEN DE BOLIVAR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0
2019-01-05 12:00:00,BOLIVAR,MAHATES,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-10 12:00:00,BOYACA,TUNJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-10 12:00:00,CALDAS,MANIZALES,ACCIDENTE TRANSPORTE TERRESTRE,0,3,0,0,0.0,0.0,0.0,0.0
2019-01-10 12:00:00,SANTANDER,LEBRIJA,ACCIDENTE TRANSPORTE TERRESTRE,0,6,0,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,BOYACA,GUICAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-04 12:00:00,BOYACA,SAN PABLO DE BORBUR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-06 12:00:00,CALDAS,ANSERMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-03 12:00:00,CASANARE,AGUAZUL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-05 12:00:00,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-03 12:00:00,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,18.0,0.0,0.0,0.0
2019-01-11 12:00:00,CUNDINAMARCA,SUESCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-03 12:00:00,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-05 12:00:00,CESAR,BOSCONIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-06 12:00:00,CESAR,EL COPEY,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-11 12:00:00,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-11 12:00:00,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-11 12:00:00,NARIÑO,BARBACOAS,VENDAVAL,0,0,31,0,0.0,0.0,0.0,0.0
2019-01-11 12:00:00,GUAVIARE,SAN JOSE DEL GUAVIARE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-11 12:00:00,ATLANTICO,MALAMBO,COLAPSO ESTRUCTURAL,2,0,0,0,0.0,0.0,0.0,0.0
2019-01-12 12:00:00,RISARALDA,BALBOA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-12 12:00:00,NARIÑO,GUACHUCAL,GRANIZADA,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-13 12:00:00,CUNDINAMARCA,FUSAGASUGA,INCENDIO ESTRUCTURAL,0,4,1,0,0.0,0.0,0.0,0.0
